591725015	93	1	345A003	01	0	1	83                          	3                           	諮商心理學研究	
591725015	93	1	345A008	01	0	1		3                           	刑事政策專題研究	
591725015	93	1	345A009	01	0	2	83                          	3                           	青少年輔導專題研究	
591725022	93	1	345A009	01	0	2	85                          	3                           	青少年輔導專題研究	
592110001	93	1	110A152	01	0	2		3                           	中國經典詮釋專題研究	
592110001	93	1	110A191	01	0	2	86                          	3                           	文學韻律與語言風格	
592110001	93	1	110A222	01	0	2		3                           	唐代文學專題討論	
592110002	93	1	110A152	01	0	2		3                           	中國經典詮釋專題研究	
592110002	93	1	110A191	01	0	2	88                          	3                           	文學韻律與語言風格	
592110002	93	1	110A222	01	0	2		3                           	唐代文學專題討論	
592110003	93	1	110A152	01	0	2		3                           	中國經典詮釋專題研究	
592110003	93	1	110A191	01	0	2	94                          	3                           	文學韻律與語言風格	
592110003	93	1	110A222	01	0	2		3                           	唐代文學專題討論	
592110004	93	1	110A191	01	0	2	88                          	3                           	文學韻律與語言風格	
592110004	93	1	110A222	01	0	2		3                           	唐代文學專題討論	
592110004	93	1	110A291	01	0	2		3                           	敦煌學專題研究	
592110005	93	1	110A152	01	0	2		3                           	中國經典詮釋專題研究	
592110005	93	1	110A191	01	0	2	94                          	3                           	文學韻律與語言風格	
592110005	93	1	110A222	01	0	2		3                           	唐代文學專題討論	
592110007	93	1	110A152	01	0	2		3                           	中國經典詮釋專題研究	
592110007	93	1	110A191	01	0	2	92                          	3                           	文學韻律與語言風格	
592110007	93	1	110A222	01	0	2		3                           	唐代文學專題討論	
592110008	93	1	110A152	01	0	2		3                           	中國經典詮釋專題研究	
592110008	93	1	110A191	01	0	2	70                          	3                           	文學韻律與語言風格	
592110008	93	1	110A222	01	0	2		3                           	唐代文學專題討論	
592110009	93	1	110A152	01	0	2		3                           	中國經典詮釋專題研究	
592110009	93	1	110A191	01	0	2	88                          	3                           	文學韻律與語言風格	
592110009	93	1	110A222	01	0	2		3                           	唐代文學專題討論	
592110010	93	1	110A152	01	0	2		3                           	中國經典詮釋專題研究	
592110010	93	1	110A191	01	0	2	90                          	3                           	文學韻律與語言風格	
592110010	93	1	110A222	01	0	2		3                           	唐代文學專題討論	
592115001	93	1	115A018	01	0	2	92                          	3                           	短篇故事教學	
592115001	93	1	115A038	01	0	2	90                          	3                           	ESL/EFL課室教學議題	
592115001	93	1	115A040	01	0	2	88                          	3                           	英語語法	
592115002	93	1	115A018	01	0	2	87                          	3                           	短篇故事教學	
592115002	93	1	115A040	01	0	2	83                          	3                           	英語語法	
592115004	93	1	115A018	01	0	2	81                          	3                           	短篇故事教學	
592115004	93	1	115A038	01	0	2	88                          	3                           	ESL/EFL課室教學議題	
592115004	93	1	115A040	01	0	2	83                          	3                           	英語語法	
592115005	93	1	115A018	01	0	2	85                          	3                           	短篇故事教學	
592115005	93	1	115A037	01	0	2	86                          	3                           	英語戲劇教學與演出	
592115005	93	1	115A038	01	0	2	88                          	3                           	ESL/EFL課室教學議題	
592115007	93	1	115A018	01	0	2	84                          	3                           	短篇故事教學	
592115007	93	1	115A038	01	0	2	84                          	3                           	ESL/EFL課室教學議題	
592115007	93	1	115A040	01	0	2	89                          	3                           	英語語法	
592115008	93	1	115A018	01	0	2	85                          	3                           	短篇故事教學	
592115008	93	1	115A038	01	0	2	89                          	3                           	ESL/EFL課室教學議題	
592115009	93	1	115A037	01	0	2	86                          	3                           	英語戲劇教學與演出	
592115009	93	1	115A038	01	0	2	88                          	3                           	ESL/EFL課室教學議題	
592115009	93	1	115A040	01	0	2	90                          	3                           	英語語法	
592115010	93	1	115A018	01	0	2	76                          	3                           	短篇故事教學	
592115011	93	1	115A018	01	0	2	83                          	3                           	短篇故事教學	
592115011	93	1	115A038	01	0	2	89                          	3                           	ESL/EFL課室教學議題	
592115011	93	1	115A040	01	0	2	94                          	3                           	英語語法	
592115012	93	1	115A018	01	0	2	95                          	3                           	短篇故事教學	
592115012	93	1	115A038	01	0	2	92                          	3                           	ESL/EFL課室教學議題	
592115012	93	1	115A040	01	0	2	94                          	3                           	英語語法	
592115013	93	1	115A018	01	0	2	83                          	3                           	短篇故事教學	
592115013	93	1	115A038	01	0	2	75                          	3                           	ESL/EFL課室教學議題	
592115013	93	1	115A040	01	0	2	93                          	3                           	英語語法	
592115014	93	1	115A018	01	0	2	88                          	3                           	短篇故事教學	
592115014	93	1	115A038	01	0	2	88                          	3                           	ESL/EFL課室教學議題	
592115014	93	1	115A040	01	0	2	78                          	3                           	英語語法	
592115015	93	1	115A037	01	0	2	90                          	3                           	英語戲劇教學與演出	
592115015	93	1	115A040	01	0	2	86                          	3                           	英語語法	
592115016	93	1	115A030	01	0	1	78                          	3                           	研究方法	
592115016	93	1	115A038	01	0	2	84                          	3                           	ESL/EFL課室教學議題	
